icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement
a4b7c7,N403AA  ,United States,-89.6953,38.0864,10957.56,148.0,308.22,-0.33,11201.4,20.260000000000005,10645.14,1
a4b7d3,AAL2531 ,United States,-105.5587,31.9122,10363.2,209.76,261.25,0.0,10713.72,61.75999999999999,-487.6800000000003,1
a4b7d7,ASA1470 ,United States,-115.1194,34.0977,8534.4,220.45,228.31,0.0,8770.62,10.689999999999998,-1943.0999999999985,1
a4b8f6,N403ND  ,United States,-88.1461,30.6974,2590.8,143.56,268.77,-10.4,2689.86,-76.88999999999999,-6080.76,1
a4b96d,SKW3019 ,United States,-115.3035,34.8816,9418.32,211.31,192.51,-5.2,9677.4,67.75,6987.539999999999,1
a4ba05,CXK369  ,United States,-82.9216,34.3972,746.76,45.67,255.65,-2.6,838.2,-165.64,-8839.199999999999,1
a4bb8a,AAL1218 ,United States,-94.9858,35.3918,10370.82,208.86,270.0,-0.33,10698.48,163.19,9860.279999999999,1
a4bb97,BRG641  ,United States,-162.1537,66.5337,1584.96,87.97,180.0,0.0,1493.52,-120.89000000000001,-9204.96,1
a4bbb3,CYO404  ,United States,-79.2407,28.4443,11071.86,235.97,189.03,-5.2,11490.96,148.0,9997.439999999999,1
a4bbb9,TNV141  ,United States,-150.1514,60.9648,1615.44,108.73,209.48,-5.85,1394.46,-127.24,-10096.5,1
a4bc13,N404G   ,United States,-99.6585,36.404,12184.38,156.08,275.49,0.0,12451.08,47.35000000000001,11056.619999999999,1
a4bc9c,N404MM  ,United States,-80.5119,39.6698,10668.0,277.71,102.52,0.33,10797.54,121.62999999999997,-1653.539999999999,1
a4bcec,EJA404  ,United States,-75.6532,41.262,7612.38,225.62,113.23,-7.8,7688.58,-52.089999999999975,-3108.960000000001,1
a4bd24,SKW3006 ,United States,-117.7237,33.061,5227.32,174.86,311.9,12.68,5417.82,-50.75999999999999,-2270.76,1
a4bef6,JBU1408 ,United States,-72.6892,40.9427,3512.82,151.0,223.76,-0.98,3589.02,-23.860000000000014,-1828.7999999999997,1
a4bf41,AAL2214 ,United States,-111.877,33.4282,906.78,97.25,271.21,0.98,906.78,-53.75,-2682.24,1
a4bf82,N405DC  ,United States,-96.7879,42.5458,13106.4,186.23,294.65,0.0,13167.36,88.97999999999999,12260.58,1
a4c0dd,N405T   ,United States,-80.8282,35.1729,2080.26,111.39,176.03,-7.8,2179.32,-74.83999999999999,-10988.04,1
a4c132,N405WK  ,United States,-106.2634,31.8385,1493.52,80.63,102.53,-4.23,1668.78,-30.760000000000005,-510.5400000000002,1
a4c164,AAH18   ,United States,-157.9288,21.3274,0.0,8.75,267.19,0.0,0.0,-71.88,-1668.78,0
a4c170,RPA4765 ,United States,-77.7404,36.0457,7917.18,216.31,55.86,6.5,8168.64,207.56,8168.64,1
a4c2ff,CMB406  ,United States,9.1451,48.6752,533.4,61.77,77.01,-3.9,701.04,-154.54,-7467.6,1
a4c331,CAP826  ,United States,-80.7775,28.4881,175.26,50.0,220.41,-1.3,251.46,-11.770000000000003,-449.5799999999999,1
a4c37e,LXJ406  ,United States,-80.1241,35.9275,11887.2,234.09,194.77,0.0,12161.52,184.09,11910.060000000001,1
a4c48f,SIL1402 ,United States,-150.4873,60.8578,1920.24,121.13,8.3,0.0,1676.4,-112.96000000000001,-10485.12,1
a4c527,RPA4390 ,United States,-79.2505,37.9268,6400.8,229.51,102.82,0.0,6583.68,108.38,4907.280000000001,1
a4c662,N4068G  ,United States,-95.1464,30.1037,182.88,42.82,106.04,-0.98,205.74,-186.69,-6377.9400000000005,1
a4c6a8,N407AF  ,United States,-118.491,34.204,0.0,11.83,357.19,0.0,0.0,-30.990000000000002,-205.74,1
a4c6af,AAL2199 ,United States,-117.3275,33.9913,4358.64,155.33,262.0,-7.8,4488.18,143.5,4488.18,1
a4c6b3,ASA734  ,United States,-144.6541,60.0496,10660.38,239.49,119.04,0.0,10134.6,84.16,5646.42,1
a4c6e9,OPT407  ,United States,-78.8722,27.7787,10843.26,194.45,10.21,8.45,11269.98,-45.04000000000002,1135.3799999999992,1
a4c74e,N407GX  ,United States,-97.1499,32.7831,0.0,51.44,101.25,0.0,0.0,-143.01,-11269.98,1
a4c757,N407HF  ,United States,-97.6272,28.0768,441.96,66.86,50.31,0.33,457.2,15.420000000000002,457.2,1
a4c849,SKW3330 ,United States,-118.6286,38.8038,10972.8,207.54,9.42,0.33,11170.92,140.68,10713.72,1
a4c9d5,JBU115  ,United States,-73.9332,41.119,4953.0,200.68,312.19,9.75,5029.2,-6.859999999999985,-6141.72,1
